segment_id,point_id,point_type,direction,status,gcs_uri,latitude,longitude,pano_id,pano_lat,pano_lng,street_bearing,heading
0,0000,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0000_forward_40.7466658_-73.9900676_29.2.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,29.18,29.18
0,0000,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0000_backward_40.7466658_-73.9900676_209.2.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,29.18,209.18
0,0001,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0001_forward_40.7469015_-73.9898938_29.2.jpg,40.7469015,-73.9898938,nTESv2TB5RgjzQYQBLIkfQ,40.74688415174069,-73.98991072430628,29.19,29.19
0,0001,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0001_backward_40.7469015_-73.9898938_209.2.jpg,40.7469015,-73.9898938,nTESv2TB5RgjzQYQBLIkfQ,40.74688415174069,-73.98991072430628,29.19,209.19
0,0002,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0002_forward_40.7471372_-73.9897201_29.2.jpg,40.7471372,-73.9897201,azRbUuO2rzvs6fs2XgF_Tg,40.74713752750058,-73.98972734716818,29.19,29.19
0,0002,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0002_backward_40.7471372_-73.9897201_209.2.jpg,40.7471372,-73.9897201,azRbUuO2rzvs6fs2XgF_Tg,40.74713752750058,-73.98972734716818,29.19,209.19
0,0003,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0003_forward_40.747277_-73.989617_29.2.jpg,40.747277,-73.989617,CAoSF0NJSE0wb2dLRUlDQWdJQ0JfWlgzdUFF,40.74727690375515,-73.98962413580215,29.19,29.19
0,0003,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/000-0003_backward_40.747277_-73.989617_209.2.jpg,40.747277,-73.989617,CAoSF0NJSE0wb2dLRUlDQWdJQ0JfWlgzdUFF,40.74727690375515,-73.98962413580215,29.19,209.19
1,0004,junction,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0004_forward_40.7466658_-73.9900676_299.1.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,299.15,299.15
1,0004,junction,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0004_backward_40.7466658_-73.9900676_119.1.jpg,40.7466658,-73.9900676,VWRSRSUlay7whNqVyvRiVQ,40.74665178161771,-73.99007903656683,299.15,119.14999999999998
1,0005,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0005_forward_40.746797_-73.9903782_299.1.jpg,40.746797,-73.9903782,7n-miMIwFsvPPH1z3Lgxew,40.74679960424696,-73.99037539849941,299.11,299.11
1,0005,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0005_backward_40.746797_-73.9903782_119.1.jpg,40.746797,-73.9903782,7n-miMIwFsvPPH1z3Lgxew,40.74679960424696,-73.99037539849941,299.11,119.11000000000001
1,0006,street,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0006_forward_40.7469281_-73.9906889_299.1.jpg,40.7469281,-73.9906889,UkOnIInwrerWX0_fL-kRew,40.74693426239696,-73.99069588135704,299.11,299.11
1,0006,street,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260329T000250Z/001-0006_backward_40.7469281_-73.9906889_119.1.jpg,40.7469281,-73.9906889,UkOnIInwrerWX0_fL-kRew,40.74693426239696,-73.99069588135704,299.11,119.11000000000001
