point_id,direction,status,gcs_uri,latitude,longitude,street_bearing,heading,pano_id
0000,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0000_forward_40.9716832_29.0637443_123.7.jpg,40.9716832,29.0637443,123.74,123.74,CAoSFkNJSE0wb2dLRUlDQWdJQ244djZITHc.
0000,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0000_right_40.9716832_29.0637443_213.7.jpg,40.9716832,29.0637443,123.74,213.74,CAoSFkNJSE0wb2dLRUlDQWdJQ244djZITHc.
0000,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0000_backward_40.9716832_29.0637443_303.7.jpg,40.9716832,29.0637443,123.74,303.74,CAoSFkNJSE0wb2dLRUlDQWdJQ244djZITHc.
0000,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0000_left_40.9716832_29.0637443_33.7.jpg,40.9716832,29.0637443,123.74,33.74000000000001,CAoSFkNJSE0wb2dLRUlDQWdJQ244djZITHc.
0001,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0001_forward_40.9715834_29.0639421_123.7.jpg,40.9715834,29.0639421,123.74,123.74,CmmSkskjcGmuGi-zEz-Gvg
0001,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0001_right_40.9715834_29.0639421_213.7.jpg,40.9715834,29.0639421,123.74,213.74,CmmSkskjcGmuGi-zEz-Gvg
0001,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0001_backward_40.9715834_29.0639421_303.7.jpg,40.9715834,29.0639421,123.74,303.74,CmmSkskjcGmuGi-zEz-Gvg
0001,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0001_left_40.9715834_29.0639421_33.7.jpg,40.9715834,29.0639421,123.74,33.74000000000001,CmmSkskjcGmuGi-zEz-Gvg
0002,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0002_forward_40.9714837_29.06414_123.7.jpg,40.9714837,29.06414,123.74,123.74,D28LSG4ChacBTLHhlzCEQg
0002,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0002_right_40.9714837_29.06414_213.7.jpg,40.9714837,29.06414,123.74,213.74,D28LSG4ChacBTLHhlzCEQg
0002,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0002_backward_40.9714837_29.06414_303.7.jpg,40.9714837,29.06414,123.74,303.74,D28LSG4ChacBTLHhlzCEQg
0002,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0002_left_40.9714837_29.06414_33.7.jpg,40.9714837,29.06414,123.74,33.74000000000001,D28LSG4ChacBTLHhlzCEQg
0003,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0003_forward_40.9713839_29.0643378_123.7.jpg,40.9713839,29.0643378,123.74,123.74,M8GZAD93tPFl4Th6ZVwMeQ
0003,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0003_right_40.9713839_29.0643378_213.7.jpg,40.9713839,29.0643378,123.74,213.74,M8GZAD93tPFl4Th6ZVwMeQ
0003,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0003_backward_40.9713839_29.0643378_303.7.jpg,40.9713839,29.0643378,123.74,303.74,M8GZAD93tPFl4Th6ZVwMeQ
0003,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0003_left_40.9713839_29.0643378_33.7.jpg,40.9713839,29.0643378,123.74,33.74000000000001,M8GZAD93tPFl4Th6ZVwMeQ
0004,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0004_forward_40.9712842_29.0645356_123.7.jpg,40.9712842,29.0645356,123.74,123.74,1H_gJ3bzZUezgnn4BDcaAg
0004,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0004_right_40.9712842_29.0645356_213.7.jpg,40.9712842,29.0645356,123.74,213.74,1H_gJ3bzZUezgnn4BDcaAg
0004,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0004_backward_40.9712842_29.0645356_303.7.jpg,40.9712842,29.0645356,123.74,303.74,1H_gJ3bzZUezgnn4BDcaAg
0004,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0004_left_40.9712842_29.0645356_33.7.jpg,40.9712842,29.0645356,123.74,33.74000000000001,1H_gJ3bzZUezgnn4BDcaAg
0005,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0005_forward_40.9711844_29.0647335_123.7.jpg,40.9711844,29.0647335,123.74,123.74,byUDQBhL11tdotLItY6lAA
0005,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0005_right_40.9711844_29.0647335_213.7.jpg,40.9711844,29.0647335,123.74,213.74,byUDQBhL11tdotLItY6lAA
0005,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0005_backward_40.9711844_29.0647335_303.7.jpg,40.9711844,29.0647335,123.74,303.74,byUDQBhL11tdotLItY6lAA
0005,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0005_left_40.9711844_29.0647335_33.7.jpg,40.9711844,29.0647335,123.74,33.74000000000001,byUDQBhL11tdotLItY6lAA
0006,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0006_forward_40.9710846_29.0649313_123.7.jpg,40.9710846,29.0649313,123.74,123.74,5wGPmQ_VEUDBjf9xIyJlrg
0006,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0006_right_40.9710846_29.0649313_213.7.jpg,40.9710846,29.0649313,123.74,213.74,5wGPmQ_VEUDBjf9xIyJlrg
0006,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0006_backward_40.9710846_29.0649313_303.7.jpg,40.9710846,29.0649313,123.74,303.74,5wGPmQ_VEUDBjf9xIyJlrg
0006,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0006_left_40.9710846_29.0649313_33.7.jpg,40.9710846,29.0649313,123.74,33.74000000000001,5wGPmQ_VEUDBjf9xIyJlrg
0007,forward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0007_forward_40.9709849_29.0651291_123.7.jpg,40.9709849,29.0651291,123.74,123.74,fL0RpTLb387tvFVzJ2iOVg
0007,right,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0007_right_40.9709849_29.0651291_213.7.jpg,40.9709849,29.0651291,123.74,213.74,fL0RpTLb387tvFVzJ2iOVg
0007,backward,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0007_backward_40.9709849_29.0651291_303.7.jpg,40.9709849,29.0651291,123.74,303.74,fL0RpTLb387tvFVzJ2iOVg
0007,left,uploaded,gs://cv-urban-accessibility-bucket/streetview/polygon_4v/20260221T142707Z/0007_left_40.9709849_29.0651291_33.7.jpg,40.9709849,29.0651291,123.74,33.74000000000001,fL0RpTLb387tvFVzJ2iOVg
